Rank,Team,GM,W-L,FGM,FGA,FG%
94,Georgia (SEC),31,20-11,811,"1,747",46.4
95,UAB (The American),31,20-11,945,"2,036",46.4
96,Loyola Chicago (Atlantic 10),31,21-10,822,"1,771",46.4
97,Texas St. (Sun Belt),32,16-16,867,"1,869",46.4
98,New Mexico (Mountain West),31,25-6,908,"1,960",46.3
99,Texas (SEC),31,17-14,848,"1,832",46.3
100,Longwood (Big South),32,18-14,847,"1,830",46.3
101,Michigan St. (Big Ten),31,26-5,853,"1,843",46.3
102,Tennessee St. (OVC),33,17-16,909,"1,964",46.3
103,Central Mich. (MAC),31,14-17,835,"1,807",46.2
104,Samford (SoCon),32,22-10,948,"2,053",46.2
105,Indiana (Big Ten),31,19-12,846,"1,833",46.2
106,Southern Ill. (MVC),33,14-19,875,"1,896",46.1
107,Eastern Mich. (MAC),31,16-15,805,"1,745",46.1
108,Binghamton (America East),32,15-17,800,"1,735",46.1
109,Syracuse (ACC),31,13-18,853,"1,852",46.1
110,Wisconsin (Big Ten),31,23-8,843,"1,832",46
111,Dayton (Atlantic 10),31,22-9,793,"1,724",46
112,North Ala. (ASUN),34,24-10,978,"2,127",46
113,Houston (Big 12),31,27-4,843,"1,834",46
114,Delaware St. (MEAC),29,16-13,842,"1,833",45.9
115,Miami (FL) (ACC),31,7-24,849,"1,849",45.9
116,Cal Poly (Big West),32,14-18,918,"2,000",45.9
117,Drexel (CAA),33,18-15,870,"1,898",45.8
118,Butler (Big East),31,13-18,781,"1,705",45.8
119,N.C. Central (MEAC),31,13-18,868,"1,896",45.8
120,Col. of Charleston (CAA),32,24-8,872,"1,907",45.7
121,San Francisco (WCC),32,24-8,848,"1,856",45.7
122,Montana St. (Big Sky),31,14-17,789,"1,727",45.7
123,Bryant (America East),32,21-11,962,"2,106",45.7
124,Furman (SoCon),33,25-8,874,"1,914",45.7
125,Notre Dame (ACC),31,14-17,810,"1,774",45.7
126,Eastern Wash. (Big Sky),32,10-22,818,"1,792",45.6
127,Southeast Mo. St. (OVC),33,21-12,901,"1,974",45.6
128,Holy Cross (Patriot),32,13-19,824,"1,806",45.6
129,Saint Mary's (CA) (WCC),31,27-4,845,"1,853",45.6
130,Grand Canyon (WAC),30,23-7,801,"1,757",45.6
131,Louisville (ACC),31,25-6,840,"1,844",45.6
132,Oregon (Big Ten),31,23-8,833,"1,829",45.5
133,North Texas (The American),30,23-7,700,"1,537",45.5
134,Florida St. (ACC),31,17-14,813,"1,786",45.5
135,Weber St. (Big Sky),34,12-22,866,"1,903",45.5
136,UC Irvine (Big West),32,27-5,829,"1,822",45.5
137,UIC (MVC),31,17-14,831,"1,827",45.5
138,Northern Ariz. (Big Sky),33,18-15,920,"2,023",45.5
139,Ball St. (MAC),31,14-17,781,"1,718",45.5
140,Radford (Big South),33,20-13,824,"1,813",45.4
141,Tennessee (SEC),31,25-6,807,"1,776",45.4
