Rank,Team,GM,W-L,ST,STPG
150,Tennessee (SEC),31,25-6,216,7
150,Western Mich. (MAC),31,12-19,216,7
154,Lipscomb (ASUN),34,25-9,236,6.9
155,Austin Peay (ASUN),33,14-19,229,6.9
155,Belmont (MVC),33,22-11,229,6.9
155,FDU (NEC),33,13-20,229,6.9
158,Southeastern La. (Southland),32,18-14,222,6.9
159,Duke (ACC),31,28-3,215,6.9
159,Eastern Mich. (MAC),31,16-15,215,6.9
161,Youngstown St. (Horizon),32,20-12,221,6.9
162,Cincinnati (Big 12),31,17-14,214,6.9
163,Southern Miss. (Sun Belt),33,11-22,227,6.9
164,Campbell (CAA),32,15-17,220,6.9
165,Colorado (Big 12),31,12-19,213,6.9
166,Denver (Summit League),32,11-21,219,6.8
166,Indiana St. (MVC),32,14-18,219,6.8
168,UAB (The American),31,20-11,212,6.8
169,Chattanooga (SoCon),33,24-9,225,6.8
170,UC Irvine (Big West),32,27-5,218,6.8
171,Purdue (Big Ten),31,21-10,211,6.8
171,Stanford (ACC),31,19-12,211,6.8
173,Northwestern St. (Southland),30,15-15,204,6.8
174,Saint Peter's (MAAC),28,12-16,190,6.8
175,San Francisco (WCC),32,24-8,217,6.8
176,Kentucky (SEC),31,21-10,210,6.8
176,Liberty (CUSA),31,25-6,210,6.8
176,UIC (MVC),31,17-14,210,6.8
176,Wichita St. (The American),31,18-13,210,6.8
180,Utah Valley (WAC),30,23-7,203,6.8
181,Buffalo (MAC),31,9-22,209,6.7
182,SIUE (OVC),33,22-11,222,6.7
183,Presbyterian (Big South),32,14-18,215,6.7
184,Iowa (Big Ten),31,16-15,208,6.7
184,Texas Tech (Big 12),31,24-7,208,6.7
186,Army West Point (Patriot),31,16-15,207,6.7
186,Fairfield (MAAC),31,12-19,207,6.7
186,Santa Clara (WCC),31,20-12,207,6.7
189,Murray St. (MVC),33,16-17,220,6.7
189,California Baptist (WAC),30,16-14,200,6.7
191,Bryant (America East),32,21-11,213,6.7
192,Bradley (MVC),34,26-8,226,6.6
193,Bethune-Cookman (SWAC),31,16-15,206,6.6
193,Kennesaw St. (CUSA),31,18-13,206,6.6
193,Louisville (ACC),31,25-6,206,6.6
196,Bucknell (Patriot),33,18-15,219,6.6
196,Marshall (Sun Belt),33,20-13,219,6.6
198,Alcorn (SWAC),31,11-20,205,6.6
198,Middle Tenn. (CUSA),31,21-10,205,6.6
200,Furman (SoCon),33,25-8,218,6.6
200,Navy (Patriot),33,15-18,218,6.6
202,Robert Morris (Horizon),32,24-8,211,6.6
203,American (Patriot),33,21-12,217,6.6
204,Oregon St. (WCC),32,20-12,210,6.6
204,UIW (Southland),32,17-15,210,6.6
206,UNLV (Mountain West),31,17-14,203,6.5
207,Oakland (Horizon),33,16-17,216,6.5
208,Weber St. (Big Sky),34,12-22,221,6.5
208,UNCW (CAA),32,25-7,208,6.5
210,Fla. Atlantic (The American),31,17-14,201,6.5
210,Ohio St. (Big Ten),31,17-14,201,6.5
210,Southern California (Big Ten),31,15-16,201,6.5
213,Col. of Charleston (CAA),32,24-8,207,6.5
213,Towson (CAA),32,22-10,207,6.5
215,NC State (ACC),31,12-19,200,6.5
215,Washington (Big Ten),31,13-18,200,6.5
217,Cornell (Ivy League),27,17-10,174,6.4
218,Grambling (SWAC),31,10-21,199,6.4
218,Loyola Chicago (Atlantic 10),31,21-10,199,6.4
218,Saint Louis (Atlantic 10),31,18-13,199,6.4
